
 13,00000   0,00061   0,00001   0,00352   0,00001   0,00330   0,00011   0,00126 
 13,10000   0,00076   0,00001   0,00383  -0,00000   0,00348   0,00005   0,00135 
 13,20000   0,00085  -0,00004   0,00413   0,00003   0,00354   0,00010   0,00143 
 13,30000   0,00095  -0,00001   0,00446  -0,00000   0,00366   0,00017   0,00154 
 13,40000   0,00091   0,00005   0,00480   0,00004   0,00376   0,00020   0,00163 
 13,50000   0,00105  -0,00005   0,00523  -0,00001   0,00393   0,00009   0,00171 
 13,60000   0,00107  -0,00006   0,00570  -0,00001   0,00408   0,00011   0,00181 
 13,70000   0,00113  -0,00005   0,00605  -0,00006   0,00415   0,00015   0,00190 
 13,80000   0,00134   0,00003   0,00632   0,00005   0,00430   0,00006   0,00202 
 13,90000   0,00147  -0,00002   0,00676  -0,00004   0,00445   0,00010   0,00212 
 14,00000   0,00143  -0,00003   0,00735   0,00000   0,00464   0,00020   0,00226 
 14,10000   0,00164  -0,00004   0,00790  -0,00008   0,00474   0,00018   0,00239 
 14,20000   0,00169   0,00001   0,00842  -0,00005   0,00485   0,00010   0,00250 
 14,30000   0,00179   0,00001   0,00888  -0,00004   0,00500   0,00015   0,00263 
 14,40000   0,00196  -0,00003   0,00943  -0,00007   0,00524   0,00008   0,00277 
 14,50000   0,00206  -0,00004   0,00992  -0,00009   0,00512   0,00012   0,00285 
 14,60000   0,00214  -0,00009   0,01046  -0,00003   0,00532   0,00019   0,00300 
 14,70000   0,00221   0,00001   0,01100  -0,00000   0,00557   0,00026   0,00317 
 14,80000   0,00237   0,00003   0,01108  -0,00002   0,00570   0,00026   0,00324 
 14,90000   0,00256   0,00004   0,01140  -0,00010   0,00599   0,00022   0,00335 
 15,00000   0,00274   0,00006   0,01205  -0,00017   0,00616   0,00019   0,00350 
 15,10000   0,00275   0,00002   0,01273  -0,00012   0,00633   0,00027   0,00366 
 15,20000   0,00291   0,00004   0,01329  -0,00003   0,00651   0,00022   0,00382 
 15,30000   0,00312   0,00003   0,01388  -0,00012   0,00669   0,00020   0,00397 
 15,40000   0,00326  -0,00004   0,01446  -0,00007   0,00687   0,00023   0,00412 
 15,50000   0,00336   0,00000   0,01502  -0,00000   0,00705   0,00013   0,00426 
 15,60000   0,00345   0,00001   0,01565  -0,00005   0,00727   0,00026   0,00443 
 15,70000   0,00366   0,00007   0,01624  -0,00009   0,00747   0,00025   0,00460 
 15,80000   0,00384  -0,00003   0,01680  -0,00005   0,00764   0,00039   0,00477 
 15,90000   0,00392  -0,00007   0,01746   0,00004   0,00765   0,00047   0,00491 
 16,00000   0,00406  -0,00002   0,01797   0,00010   0,00794   0,00068   0,00512 
 16,10000   0,00420  -0,00004   0,01859  -0,00010   0,00818   0,00074   0,00526 
 16,20000   0,00420  -0,00006   0,01930  -0,00003   0,00850   0,00090   0,00547 
 16,30000   0,00438  -0,00003   0,01984  -0,00009   0,00878   0,00085   0,00562 
 16,40000   0,00454  -0,00000   0,02042  -0,00012   0,00891   0,00089   0,00577 
 16,50000   0,00478   0,00008   0,02095  -0,00006   0,00924   0,00100   0,00600 
 16,60000   0,00490   0,00004   0,02152  -0,00005   0,00949   0,00116   0,00618 
 16,70000   0,00506  -0,00003   0,02204  -0,00003   0,00977   0,00126   0,00635 
 16,80000   0,00521  -0,00002   0,02270  -0,00001   0,00999   0,00133   0,00653 
 16,90000   0,00541  -0,00000   0,02326   0,00001   0,01027   0,00136   0,00672 
 17,00000   0,00566   0,00003   0,02393  -0,00001   0,01063   0,00151   0,00696 
 17,10000   0,00593   0,00008   0,02447  -0,00007   0,01088   0,00162   0,00715 
 17,20000   0,00596   0,00005   0,02501  -0,00004   0,01109   0,00166   0,00729 
 17,30000   0,00616   0,00008   0,02549  -0,00004   0,01140   0,00191   0,00750 
 17,40000   0,00639   0,00009   0,02620  -0,00008   0,01172   0,00207   0,00773 
 17,50000   0,00653   0,00010   0,02674   0,00003   0,01195   0,00212   0,00791 
 17,60000   0,00676   0,00008   0,02737  -0,00005   0,01239   0,00229   0,00814 
